Внешний код,Название,ID,Основной раздел,Источник данных
9009162,Набор пилок Metabo 3 шт. 623968000,695678,Пилки для электрических лобзиков,Импорт 1С
X1691310247,Тройник ALTSTREAM 16*1/2F*16 ВР с крепл. м/п(уп.13 шт) 002108001,695679,Тройники обжимные для трубопроводов,Импорт 1С
X69914543116,"Решетка вентиляционная Vents МВ 121Рс, 187x187 мм",695681,Решетки вентиляционные,Импорт 1С
X69914543336,"Решетка вентиляционная Vents МВМ 300с, 300x300 мм",695682,Решетки вентиляционные,Импорт 1С
X16913840108,Кран FIV шаровый д/газа 1/2 г/ш Б-КА 80014013,695683,Арматура запорная и регулирующая,Импорт 1С
X169254697,"Угольник ALTSTREAM вн/нар 1"" (уп.20 шт) 003030303",695684,Латунные фитинги,Импорт 1С
X1691386042,"Угольник ALTSTREAM н.р. 1""",695685,Латунные фитинги,Импорт 1С
X16912758126,Вентиль TEBO для радиаторов угловой 20*1/2 015060411-02,695686,Для радиаторов отопления,Импорт 1С
X4289163,Тройник FUSITEK НР 32*1 с наружной резьбой (FT04108) для полипропиленовой трубы,695687,Полипропиленовые тройники,Импорт 1С
X4289129,Тройник FUSITEK переходной 90*32*90 (FT01221) для полипропиленовой трубы,695688,Полипропиленовые тройники,Импорт 1С
X1691385785,Фильтр сетчатый полипропиленовый VALFEX ВН/ВН 32*1,695689,Пластиковые фитинг-фильтры и полифосфатные,Импорт 1С
X1698203113,Душевая лейка хром.(уп.48шт.) FRAP F20,695690,Для душевых кабин,Импорт 1С
X13171219,Насадка STANLEY д/мультитул гибк.шпатель STA26140-XJ,695692,Насадки для реноваторов,Импорт 1С
Х1317122120,Подошва STANLEY нейлон д/УШМ М14 D125мм STA32110-XJ,695694,Прочие комплектующие для шлифмашин,Импорт 1С
Х1308206,"Терка ЗУБР 08130-14-23 (140*230мм, полиуретановая)",695695,Шпатели,Импорт 1С
X18612507313,"Леска для триммера STIHL 00009302416, 2 мм",695696,Леска для триммеров,Импорт 1С
720666,Вольфрамовый электрод  WC-20 3.0/175,695697,Электроды,Импорт 1С
9016686,Адаптер гибкий STAYER 300 мм 25512-30,695698,Прочие насадки для дрелей и шуруповертов,Импорт 1С
X6991453047826,"Гофрированный воздуховод ЭРА 14ВА, 140 мм",695699,Гофрированные (гибкие) воздуховоды,Импорт 1С
X699145478,"Переход оцинкованный вентиляционный Лиссант 1081318130, 315/250 мм",695700,Переходы оцинкованные вентиляционные,Импорт 1С
X699145430918,"Решетка вентиляционная Эра 2525МЭ, 250x250 мм",695701,Решетки вентиляционные,Импорт 1С
X69914543452,"Решетка вентиляционная SHUFT 1WA, 200x100 мм",695702,Решетки вентиляционные,Импорт 1С
X16912987,Труба FUSITEK п/п ПН20 50мм (FT00305),695703,Полипропиленовые трубы,Импорт 1С
X13264682,Сварочная проволока омедненная на катушке ESAB 1.0мм OK Autrod 12.51,695704,Сварочная проволока,Импорт 1С
77777X72068,"Сварочная проволока омедненная ESAB 1.0мм (5кг) OK Autrod 12.51, для полуавтомата",695705,Сварочная проволока,Импорт 1С
X1697692,Труба  канализ.110*1500,695706,Канализационные трубы,Импорт 1С
X16913840104,Кран FIV шаровый д/газа 1/2 г/г Б-КА 80010013,695707,Арматура запорная и регулирующая,Импорт 1С
X169138201,"Американка латунная ALTSTREAM 3/4"" В/В прямая 003070302",695708,Американки латунные,Импорт 1С
X1691385933,Тройник ALTSTREAM переходной в.р. 1*1/2*1 003040202,695709,Латунные фитинги,Импорт 1С
X1691386047,"Угольник STOUT HB никелированный 1"" SFT-0012-000001",695710,Латунные фитинги,Импорт 1С
